%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1576563417084837916,367914,1576563417084837916,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417118771450,367915,1576563417118771450,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417152542580,367916,1576563417152542580,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417184923449,367917,1576563417184923449,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417219914638,367918,1576563417219914638,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417253127821,367919,1576563417253127821,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417286273428,367920,1576563417286273428,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417320482752,367921,1576563417320482752,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417353511997,367922,1576563417353511997,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417385846572,367923,1576563417385846572,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417420623892,367924,1576563417420623892,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417453950564,367925,1576563417453950564,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417486528376,367926,1576563417486528376,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417521361086,367927,1576563417521361086,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417554356053,367928,1576563417554356053,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417586515830,367929,1576563417586515830,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417620515248,367930,1576563417620515248,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417654635341,367931,1576563417654635341,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417687788258,367932,1576563417687788258,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417722026068,367933,1576563417722026068,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417755063981,367934,1576563417755063981,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417787258599,367935,1576563417787258599,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563417822298514,367936,1576563417822298514,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
